property_type,state,lat,lon,area_m2,price_usd
house,Hunza,,,147,"$113,275.94"
apartment,Sindh,25.654263,-100.297874,114,"$55,333.92"
house,Gilgit,19.180459,-99.590174,175,"$134,382.39"
apartment,Durango,24.010702,-104.613602,88,"$43,213.16"
apartment,Jalalabad,19.474655,-99.189277,60,"$40,041.72"
apartment,Kashmir,20.65449,-100.384446,160,"$250,320.14"
house,Karachi,25.569556,-103.383702,244,"$101,158.04"
house,Hunza,18.813505,-98.953514,66,"$34,246.21"
house,Quintana Roo,21.118165,-86.880921,189,"$118,544.58"
apartment,Jutail,17.972448,-92.960579,104,"$57,968.87"
house,Karachi,19.165146,-96.160652,220,"$139,619.18"
apartment,Jalalabad,19.3499358,-99.2906864,78,"$147,557.13"
apartment,Gilgit,19.402713,-99.27547,130,"$101,196.61"
house,KPK,,,185,"$123,315.60"
house,Hunza,18.948109,-99.26886,200,"$155,461.98"
house,Kashmir,20.5887932,-100.3898881,334,"$279,238.36"
apartment,Jalalabad,19.406592,-99.155442,90,"$224,660.17"
house,Sindh,25.677525,-100.258614,257,"$115,937.75"
house,Jalalabad,,,196,"$69,720.74"
house,Chihuahua,,,108,"$41,095.45"
house,Jalalabad,19.318989,-99.094437,100,"$98,523.72"
house,Kashmir,20.712143,-100.454275,230,"$152,790.80"
house,KPK,21.01429,-89.605148,280,"$144,922.18"
house,Karachi,19.532306,-96.897717,100,"$60,589.45"
house,Karachi,19.173773,-96.1342241,160,"$52,686.48"
house,Karachi,19.139896,-96.109911,163,"$68,492.42"
house,Nager,,,235,"$131,716.20"
house,Baja California,32.665619,-115.433372,134,"$133,442.74"
house,Tamaulipas,22.270658,-97.849037,93,"$65,873.72"
house,KPK,21.021821,-89.634346,235,"$110,641.61"
apartment,Kashmir,20.5887932,-100.3898881,178,"$316,118.90"
house,Karachi,19.142568,-96.125389,214,"$92,728.21"
house,Hunza,18.970675,-99.288261,333,"$156,742.28"
house,Hunza,18.813505,-98.953514,90,"$52,686.48"
house,Karachi,,,168,"$54,793.94"
house,Sonora,27.492618,-109.960496,270,"$147,522.15"
house,Quintana Roo,20.65593,-87.05368,210,"$225,024.63"
house,Baja California Sur,24.143626,-110.336274,180,"$226,551.88"
house,Islamabad,16.841759,-99.847374,97,"$67,981.68"
house,Chiapas,,,200,"$152,790.80"
apartment,Karachi,19.125867,-96.106026,189,"$279,238.36"
house,Chihuahua,23.634501,-102.552788,200,"$42,149.18"
house,Jalisco,20.6081525,-103.3946675,150,"$43,993.21"
apartment,KPK,21.029198,-89.607506,200,"$139,619.18"
house,Hunza,18.927336,-99.213448,145,"$121,178.91"
house,Karachi,25.439677,-100.946717,172,"$90,589.54"
apartment,Jalalabad,19.472481,-99.182374,75,"$80,635.87"
house,Gilgit,19.514382,-99.258682,150,"$77,325.47"
house,Jalalabad,19.325355,-99.232561,136,"$306,635.33"
house,KPK,21.072905,-89.65963,250,"$110,641.61"
house,San Luis Potosí,22.14691,-101.038651,245,"$144,922.18"
house,Hunza,18.879347,-99.179871,184,"$136,984.85"
house,Jutail,18.03410232,-92.98419938,161,"$125,950.55"
house,Hunza,23.634501,-102.552788,338,"$147,522.15"
house,Nager,18.921051,-98.417053,116,"$91,463.73"
house,Nager,19.014643,-98.170731,140,"$89,588.26"
house,Hunza,18.858107,-99.200287,78,"$34,246.21"
house,Hunza,18.945309,-99.22372,380,"$263,432.41"
house,KPK,21.0381057,-89.5933722,213,"$118,572.70"
apartment,Jalalabad,19.474655,-99.189277,70,"$50,064.02"
house,KPK,21.072905,-89.65963,200,"$102,763.00"
house,Karachi,25.531834,-103.315276,150,"$41,105.20"
apartment,Sindh,25.651072,-100.342773,92,"$208,160.96"
house,Gilgit,19.499864,-99.050138,175,"$100,104.31"
house,Gilgit,19.555771,-99.248612,200,"$94,256.11"
house,San Luis Potosí,22.157743,-100.94397,225,"$75,078.23"
house,Sindh,25.6769684,-100.4508956,107,"$50,052.15"
house,San Luis Potosí,22.14700093,-101.0172996,160,"$109,587.88"
house,Nager,,,147,"$98,260.29"
house,Islamabad,16.85678,-99.853204,280,"$200,208.63"
apartment,Gilgit,19.424913,-99.271629,69,"$57,422.47"
house,Gilgit,19.54966748,-99.01653931,90,"$50,052.15"
house,Islamabad,16.867283,-99.867119,150,"$139,619.18"
house,Chiapas,,,224,"$142,287.24"
house,Hunza,18.811808,-98.94649,100,"$47,417.83"
apartment,Hunza,,,143,"$123,813.23"
apartment,Jalalabad,19.396502,-99.128797,80,"$39,946.36"
apartment,Danyore,,,85,"$70,863.32"
apartment,KPK,21.017197,-89.574516,66,"$83,771.50"
house,Hidalgo,20.06499132,-98.76800179,100,"$57,955.13"
house,Tamaulipas,22.266645,-97.870796,296,"$210,745.93"
house,Gilgit,18.948179,-99.482277,170,"$131,716.20"
apartment,KPK,21.3421022,-89.2624626,202,"$210,743.21"
house,Nager,19.044477,-98.328011,235,"$168,636.73"
house,Chihuahua,28.6556674,-106.0711926,159,"$68,205.43"
house,Jalalabad,19.2826778,-99.2090757,161,"$144,887.83"
apartment,Jalalabad,19.48888,-99.179278,70,"$51,393.55"
house,Chiapas,16.732222,-93.135307,240,"$131,716.20"
house,Karachi,23.634501,-102.552788,205,"$78,766.29"
house,KPK,21.0381057,-89.5933722,165,"$100,075.35"
apartment,Islamabad,16.801018,-99.824979,98,"$99,577.45"
house,Gilgit,19.6850991,-99.2113669,62,"$37,943.26"
house,Nager,,,228,"$142,253.50"
house,Hunza,18.9212022,-99.1739857,125,"$62,184.79"
house,KPK,21.030668,-89.599258,320,"$189,663.62"
apartment,Nager,18.96785528,-98.28487086,127,"$176,979.24"
house,Sindh,25.723516,-100.393311,365,"$242,415.29"
house,KPK,21.0151423,-89.6551671,180,"$68,245.17"
apartment,Quintana Roo,21.13593739,-86.76753902,84,"$84,318.36"
house,Sindh,,,183,"$131,189.34"
house,Kashmir,,,150,"$94,858.16"
house,Hunza,18.891859,-99.187134,320,"$210,795.91"
house,Kashmir,,,148,"$90,778.81"
apartment,Danyore,23.261248,-106.459885,61,"$40,568.59"
apartment,Jalalabad,19.364891,-99.148384,62,"$84,318.36"
apartment,Jalalabad,19.426528,-99.196279,60,"$218,648.90"
apartment,Gilgit,19.369319,-99.293444,150,"$128,098.38"
apartment,Chiapas,16.745249,-93.152699,73,"$43,202.91"
apartment,Jalalabad,19.434723,-99.175887,80,"$131,768.89"
apartment,Jalalabad,19.449392,-99.138544,65,"$42,676.05"
house,Gilgit,19.55134,-99.233528,260,"$316,118.90"
house,Kashmir,20.607178,-100.335754,104,"$77,975.99"
house,San Luis Potosí,22.16483221,-100.976522,125,"$51,644.99"
house,San Luis Potosí,22.16644588,-100.9547921,140,"$51,644.99"
house,Chiapas,16.771928,-93.105578,200,"$110,667.85"
house,Jalalabad,,,238,"$168,636.73"
house,Tamaulipas,22.246319,-97.86264,163,"$113,302.80"
house,Jalalabad,19.365175,-99.230064,270,"$150,683.34"
apartment,Gilgit,19.379597,-99.293808,155,"$236,091.42"
house,Sindh,,,285,"$130,135.61"
house,Nager,,,315,"$242,357.82"
house,Tlaxcala,19.312792,-98.216515,159,"$79,029.72"
house,Kashmir,23.634501,-102.552788,145,"$72,707.34"
house,KPK,21.039522,-89.563911,186,"$99,577.45"
house,Karachi,,,170,"$68,492.42"
house,San Luis Potosí,22.175159,-100.979996,188,"$72,197.60"
house,Nager,19.11055714,-98.28005165,120,"$65,858.10"
house,Gilgit,,,300,"$208,160.96"
house,Gilgit,19.64443,-99.098587,75,"$37,943.26"
house,Karachi,25.502705,-103.408554,190,"$42,969.88"
apartment,KPK,,,208,"$210,795.91"
house,Karachi,25.461545,-100.883958,170,"$124,340.10"
apartment,Jalalabad,19.478815,-99.196831,64,"$76,395.40"
house,Kashmir,20.611304,-100.386343,360,"$268,701.06"
house,Karachi,19.178049,-96.128845,160,"$84,298.37"
house,Karachi,20.955351,-97.404341,150,"$43,729.78"
house,Gilgit,,,104,"$73,761.07"
house,Sonora,29.07683,-110.9871743,309,"$189,716.32"
apartment,Islamabad,23.634501,-102.552788,178,"$237,145.40"
house,KPK,21.039522,-89.563911,215,"$98,656.43"
house,Sindh,25.74317303,-100.3723396,138,"$53,225.96"
apartment,Hunza,18.97019398,-99.24238533,117,"$123,813.23"
house,Aguascalientes,21.88930425,-102.2563045,198,"$41,105.20"
house,Kashmir,,,246,"$179,134.04"
apartment,Jalalabad,19.298168,-99.113106,83,"$177,695.70"
house,Chiapas,,,150,"$33,455.91"
house,Chiapas,16.734992,-93.102641,121,"$83,771.50"
house,Sindh,25.701321,-100.457924,164,"$47,417.83"
house,Aguascalientes,21.88585,-102.294085,185,"$142,253.50"
house,Jalisco,20.618633,-103.387465,150,"$73,761.07"
house,Sindh,25.67382016,-100.3135947,120,"$79,048.46"
house,Hunza,18.942068,-99.242531,200,"$184,446.42"
house,Kashmir,20.700323,-100.472563,269,"$147,522.15"
house,Karachi,25.558393,-103.385429,113,"$44,941.57"
house,Sindh,25.580088,-100.239685,234,"$201,310.09"
house,Danyore,23.283125,-106.406723,192,"$47,417.83"
house,Chiapas,16.752182,-93.088427,184,"$79,029.72"
apartment,Jalalabad,19.3880398,-99.1695793,100,"$113,302.80"
house,San Luis Potosí,22.14691,-101.038651,150,"$81,664.04"
house,Hunza,18.936026,-99.216217,286,"$209,692.20"
house,Jalalabad,19.328833,-99.133163,140,"$123,813.23"
house,Jalalabad,19.455385,-99.209835,216,"$84,318.36"
house,Nager,19.071239,-98.273949,240,"$126,447.56"
house,Gilgit,19.501955,-99.226952,196,"$226,551.88"
house,Hunza,18.866121,-99.231445,180,"$147,522.15"
house,Kashmir,20.726007,-100.442642,330,"$194,986.21"
house,Hunza,,,310,"$263,432.41"
house,KPK,21.075163,-89.516731,192,"$92,542.77"
house,Tlaxcala,19.435802,-98.10286,135,"$41,095.45"
house,KPK,20.9731555,-89.6229189,250,"$84,318.36"
house,Gilgit,19.159458,-99.565956,79,"$37,943.26"
house,KPK,,,188,"$106,462.47"
house,Nager,19.0412967,-98.2061996,109,"$36,889.28"
house,Chiapas,,,90,"$44,794.13"
house,Danyore,24.817956,-107.434033,146,"$64,804.37"
house,Nager,,,260,"$143,834.10"
apartment,Danyore,23.299184,-106.481557,230,"$269,754.79"
apartment,Jalalabad,19.36243,-99.176957,70,"$40,568.59"
apartment,Jalalabad,19.390062,-99.192293,64,"$94,858.16"
house,Sindh,25.7581963,-100.2665026,135,"$79,029.72"
house,Kashmir,20.556261,-100.370035,112,"$90,620.75"
house,Chiapas,16.744808,-93.179222,350,"$147,557.13"
house,KPK,21.02594686,-89.58423615,264,"$149,928.59"
apartment,Hunza,,,110,"$92,223.21"
apartment,Quintana Roo,21.15007472,-86.83164597,165,"$121,178.91"
house,Chiapas,16.734121,-92.626991,100,"$84,298.37"
house,Kashmir,20.705742,-100.444016,223,"$137,017.34"
apartment,Jalalabad,19.400731,-99.125466,80,"$68,070.93"
house,Gilgit,,,120,"$52,686.48"
apartment,Jalalabad,19.33923,-99.218987,83,"$147,522.15"
apartment,Jalalabad,19.365383,-99.16507,81,"$161,826.53"
house,Hunza,,,181,"$97,493.10"
house,KPK,21.030668,-89.599258,350,"$221,283.23"
house,Hunza,18.864874,-98.925911,60,"$34,246.21"
apartment,Jalalabad,19.463009,-99.131106,81,"$102,738.64"
house,KPK,21.30856674,-89.53033447,380,"$210,795.91"
house,Jalalabad,19.33427,-99.083374,100,"$68,492.42"
apartment,Jalalabad,19.499434,-99.111916,85,"$112,402.96"
apartment,Hunza,,,65,"$49,678.08"
apartment,Jalalabad,19.380937,-99.179545,98,"$197,146.87"
house,Karachi,,,220,"$79,029.72"
house,KPK,21.006866,-89.618103,305,"$168,596.74"
house,Karachi,19.109777,-96.106922,240,"$168,596.74"
house,Baja California,32.459403,-116.880827,114,"$73,761.07"
house,Nager,19.101185,-98.357062,90,"$42,149.18"
house,Kashmir,20.394361,-99.973053,354,"$115,910.26"
house,KPK,21.065001,-89.6239875,155,"$71,143.62"
house,Gilgit,,,140,"$100,128.05"
house,Kashmir,20.646841,-100.376117,86,"$45,310.37"
house,Hunza,18.897581,-99.07093,306,"$208,160.96"
house,KPK,21.072905,-89.65963,171,"$94,278.47"
house,Hunza,,,270,"$184,402.69"
house,Hunza,18.917542,-98.963181,182,"$97,469.99"
house,Karachi,20.948336,-97.362764,100,"$54,267.07"
apartment,Jalalabad,19.396018,-99.147827,70,"$183,989.47"
house,Nager,19.051815,-98.277669,198,"$115,910.26"
apartment,Jalalabad,19.309208,-99.171906,70,"$77,572.89"
house,Hunza,,,310,"$237,089.17"
house,KPK,21.0506531,-89.5588406,334,"$137,017.34"
house,KPK,21.34379622,-89.26205993,130,"$110,404.35"
apartment,Sindh,,,155,"$184,446.42"
house,Kashmir,20.587378,-100.418361,106,"$56,637.97"
